Explained Variance,N_Dimensions
0,2
1,4
2,6
3,8
4,9
5,11
6,13
7,15
8,17
9,19
10,20
11,22
12,24
13,26
14,28
15,30
16,32
17,34
18,35
19,37
20,39
21,41
22,43
23,45
24,47
25,49
26,51
27,53
28,54
29,56
30,58
31,60
32,62
33,64
34,66
35,68
36,70
37,72
38,74
39,76
40,78
41,80
42,82
43,84
44,86
45,88
46,89
47,91
48,93
49,95
50,97
51,99
52,101
53,103
54,105
55,107
56,109
57,111
58,113
59,116
60,118
61,120
62,122
63,124
64,126
65,128
66,130
67,132
68,134
69,136
70,138
71,140
72,142
73,144
74,146
75,148
76,151
77,153
78,155
79,157
80,159
81,161
82,163
83,165
84,168
85,170
86,172
87,174
88,176
89,178
90,181
91,183
92,185
93,187
94,189
95,192
96,194
97,196
98,198
100,200
